task_id,benchmark,policy,cost_model,n_steps,n_compactions,total_prompt_tokens,total_cached_tokens,total_completion_tokens,lifetime_cost,uncached_dollars,cached_dollars,output_dollars,compaction_dollars
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,10,0,110072,97068,1965,0.090262,0.026008,0.048534,0.01572,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,10,0,110072,97068,1965,0.0028605799999999997,0.0013004000000000002,0.00097068,0.0005895,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,10,0,110072,97068,1965,0.032535800000000004,0.013004,0.009706800000000002,0.009825,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,10,0,110072,97068,1965,0.0976074,0.039012,0.029120399999999998,0.029475,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,10,0,110072,97068,1965,0.018052400000000003,0.005201600000000001,0.009706800000000002,0.003144,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,10,0,110072,97068,1965,0.090262,0.026008,0.048534,0.01572,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,10,0,110072,97068,1965,0.0028605799999999997,0.0013004000000000002,0.00097068,0.0005895,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,10,0,110072,97068,1965,0.032535800000000004,0.013004,0.009706800000000002,0.009825,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,10,0,110072,97068,1965,0.0976074,0.039012,0.029120399999999998,0.029475,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,10,0,110072,97068,1965,0.018052400000000003,0.005201600000000001,0.009706800000000002,0.003144,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,10,0,110072,97068,1965,0.090262,0.026008,0.048534,0.01572,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,10,0,110072,97068,1965,0.0028605799999999997,0.0013004000000000002,0.00097068,0.0005895,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,10,0,110072,97068,1965,0.032535800000000004,0.013004,0.009706800000000002,0.009825,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,10,0,110072,97068,1965,0.0976074,0.039012,0.029120399999999998,0.029475,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,10,0,110072,97068,1965,0.018052400000000003,0.005201600000000001,0.009706800000000002,0.003144,0.0
